iter	Passed	Remaining
884	2518	327
885	2521	324
886	2523	321
887	2526	318
888	2528	315
889	2531	312
890	2534	310
891	2536	307
892	2539	304
893	2542	301
894	2545	298
895	2547	295
896	2550	292
897	2552	289
898	2555	287
899	2558	284
900	2560	281
901	2563	278
902	2566	275
903	2568	272
904	2571	269
905	2574	267
906	2577	264
907	2579	261
908	2582	258
909	2585	255
910	2588	252
911	2590	249
912	2593	247
913	2596	244
914	2599	241
915	2601	238
916	2604	235
917	2606	232
918	2609	229
919	2611	227
920	2614	224
921	2616	221
922	2619	218
923	2621	215
924	2623	212
925	2626	209
926	2635	207
927	2638	204
928	2640	201
929	2643	198
930	2645	196
931	2647	193
932	2650	190
933	2653	187
934	2655	184
935	2658	181
936	2661	178
937	2663	176
938	2666	173
939	2669	170
940	2671	167
941	2674	164
942	2677	161
943	2680	159
944	2683	156
945	2686	153
946	2689	150
947	2692	147
948	2695	144
949	2698	142
950	2701	139
951	2704	136
952	2706	133
953	2709	130
954	2712	127
955	2715	124
956	2718	122
957	2721	119
958	2724	116
959	2727	113
960	2730	110
961	2732	107
962	2737	105
963	2740	102
964	2742	99
965	2745	96
966	2748	93
967	2750	90
968	2753	88
969	2756	85
970	2758	82
971	2761	79
972	2764	76
973	2766	73
974	2769	71
975	2772	68
976	2774	65
977	2777	62
978	2780	59
979	2782	56
980	2785	53
981	2788	51
982	2790	48
983	2793	45
984	2795	42
985	2798	39
986	2801	36
987	2803	34
988	2806	31
989	2808	28
990	2811	25
991	2813	22
992	2816	19
993	2818	17
994	2821	14
995	2824	11
996	2826	8
997	2829	5
998	2831	2
999	2834	0
